172.64.229.226,NRT,Asia Pacific,Tokyo,126 ms
104.16.14.132,SJC,North America,San Jose,147 ms
172.64.155.12,SJC,North America,San Jose,147 ms
104.18.232.68,SJC,North America,San Jose,149 ms
104.19.10.64,SJC,North America,San Jose,151 ms
162.159.48.154,SJC,North America,San Jose,151 ms
172.64.93.2,SJC,North America,San Jose,152 ms
104.19.85.77,SJC,North America,San Jose,153 ms
198.41.193.115,SJC,North America,San Jose,153 ms
104.18.230.142,SJC,North America,San Jose,153 ms
172.64.91.94,SJC,North America,San Jose,154 ms
162.251.82.169,SJC,North America,San Jose,154 ms
172.64.83.45,SJC,North America,San Jose,154 ms
104.19.12.22,SJC,North America,San Jose,155 ms
172.64.151.215,SJC,North America,San Jose,155 ms
172.65.232.4,SJC,North America,San Jose,155 ms
198.41.197.123,SJC,North America,San Jose,155 ms
104.18.51.236,SJC,North America,San Jose,156 ms
104.18.246.209,SJC,North America,San Jose,156 ms
162.159.27.166,SJC,North America,San Jose,156 ms
104.19.13.217,SJC,North America,San Jose,156 ms
104.18.41.193,SJC,North America,San Jose,156 ms
1.0.0.59,SJC,North America,San Jose,156 ms
104.18.46.98,SJC,North America,San Jose,156 ms
104.17.163.31,SJC,North America,San Jose,156 ms
198.41.196.40,SJC,North America,San Jose,156 ms
162.159.49.60,SJC,North America,San Jose,157 ms
172.64.146.31,SJC,North America,San Jose,157 ms
104.19.158.33,SJC,North America,San Jose,157 ms
162.159.33.89,SJC,North America,San Jose,157 ms
162.159.26.9,SJC,North America,San Jose,157 ms
104.16.46.136,SJC,North America,San Jose,157 ms
104.17.159.81,SJC,North America,San Jose,157 ms
104.16.164.2,SJC,North America,San Jose,157 ms
104.16.159.151,SJC,North America,San Jose,157 ms
104.18.14.34,SJC,North America,San Jose,157 ms
172.64.152.81,SJC,North America,San Jose,157 ms
104.18.39.40,SJC,North America,San Jose,157 ms
104.18.35.105,SJC,North America,San Jose,158 ms
104.18.34.74,SJC,North America,San Jose,158 ms
104.17.184.42,SJC,North America,San Jose,158 ms
104.17.173.123,SJC,North America,San Jose,158 ms
104.17.165.131,SJC,North America,San Jose,158 ms
104.17.177.31,SJC,North America,San Jose,158 ms
104.17.157.96,SJC,North America,San Jose,158 ms
104.17.170.167,SJC,North America,San Jose,158 ms
104.17.168.65,SJC,North America,San Jose,158 ms
104.16.157.185,SJC,North America,San Jose,158 ms
104.16.170.62,SJC,North America,San Jose,158 ms
104.16.176.81,SJC,North America,San Jose,158 ms
104.19.160.28,SJC,North America,San Jose,158 ms
104.19.48.221,SJC,North America,San Jose,158 ms
104.19.15.211,SJC,North America,San Jose,158 ms
104.18.40.152,SJC,North America,San Jose,158 ms
104.18.242.27,SJC,North America,San Jose,158 ms
104.18.241.85,SJC,North America,San Jose,158 ms
104.18.234.185,SJC,North America,San Jose,158 ms
108.162.193.45,SJC,North America,San Jose,158 ms
104.18.10.69,SJC,North America,San Jose,158 ms
108.162.196.155,SJC,North America,San Jose,158 ms
104.17.160.119,SJC,North America,San Jose,158 ms
104.17.161.21,SJC,North America,San Jose,158 ms
104.17.158.111,SJC,North America,San Jose,158 ms
104.16.152.97,SJC,North America,San Jose,158 ms
104.16.141.89,SJC,North America,San Jose,158 ms
104.16.146.196,SJC,North America,San Jose,158 ms
104.16.144.116,SJC,North America,San Jose,158 ms
104.16.145.141,SJC,North America,San Jose,158 ms
104.18.233.214,SJC,North America,San Jose,158 ms
104.18.73.76,SJC,North America,San Jose,159 ms
172.64.85.188,SJC,North America,San Jose,159 ms
162.159.239.62,SJC,North America,San Jose,159 ms
104.18.7.60,SJC,North America,San Jose,159 ms
104.18.15.251,SJC,North America,San Jose,159 ms
104.18.11.192,SJC,North America,San Jose,159 ms
104.18.16.143,LAX,North America,Los Angeles,159 ms
198.217.251.246,SJC,North America,San Jose,159 ms
104.19.210.150,SJC,North America,San Jose,159 ms
104.19.219.165,SJC,North America,San Jose,159 ms
104.19.213.173,SJC,North America,San Jose,159 ms
104.19.206.73,SJC,North America,San Jose,159 ms
162.159.253.160,LAX,North America,Los Angeles,159 ms
104.18.145.67,SJC,North America,San Jose,159 ms
104.18.55.30,SJC,North America,San Jose,159 ms
104.18.76.226,SJC,North America,San Jose,159 ms
104.18.222.132,SJC,North America,San Jose,159 ms
104.18.252.131,SJC,North America,San Jose,159 ms
104.16.163.220,SJC,North America,San Jose,160 ms
104.16.160.101,SJC,North America,San Jose,160 ms
172.64.158.121,SJC,North America,San Jose,160 ms
104.19.200.149,SJC,North America,San Jose,160 ms
104.19.201.25,SJC,North America,San Jose,160 ms
104.19.198.147,SJC,North America,San Jose,160 ms
104.19.218.188,SJC,North America,San Jose,160 ms
104.19.212.131,SJC,North America,San Jose,160 ms
104.18.13.255,SJC,North America,San Jose,160 ms
104.18.9.234,SJC,North America,San Jose,160 ms
104.19.164.95,SJC,North America,San Jose,160 ms
104.18.151.246,SJC,North America,San Jose,160 ms
